번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
148,제22대,송언석,국민의힘,"예산결산특별위원회, 정무위원회",경북 김천시,남,3선,지역구
149,제22대,송영길,더불어민주당,국방위원회,인천 연수구갑,남,6선,지역구
150,제22대,송옥주,더불어민주당,농림축산식품해양수산위원회,경기 화성시갑,여,3선,지역구
151,제22대,송재봉,더불어민주당,"기후위기 특별위원회, 산업통상자원중소벤처기업위원회, 예산결산특별위원회",충북 청주시청원구,남,초선,지역구
152,제22대,신동욱,국민의힘,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 정무위원회",서울 서초구을,남,초선,지역구
153,제22대,신성범,국민의힘,국토교통위원회,경남 산청군함양군거창군합천군,남,3선,지역구
154,제22대,신장식,조국혁신당,농림축산식품해양수산위원회,비례대표,남,초선,비례대표
155,제22대,신정훈,더불어민주당,기후에너지환경노동위원회,전남광주통합특별시 나주시화순군,남,3선,지역구
156,제22대,안규백,더불어민주당,교육위원회,서울 동대문구갑,남,5선,지역구
157,제22대,안도걸,더불어민주당,"국회운영위원회, 예산결산특별위원회, 재정경제기획위원회",전남광주통합특별시 동구남구을,남,초선,지역구
158,제22대,안상훈,국민의힘,"연금개혁 특별위원회, 재정경제기획위원회",비례대표,남,초선,비례대표
159,제22대,안철수,국민의힘,외교통일위원회,경기 성남시분당구갑,남,4선,지역구
160,제22대,안태준,더불어민주당,국토교통위원회,경기 광주시을,남,초선,지역구
161,제22대,안호영,더불어민주당,기후에너지환경노동위원회,전북 완주군진안군무주군,남,3선,지역구
162,제22대,양부남,더불어민주당,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 행정안전위원회",전남광주통합특별시 서구을,남,초선,지역구
163,제22대,어기구,더불어민주당,"예산결산특별위원회, 재정경제기획위원회",충남 당진시,남,3선,지역구
164,제22대,엄태영,국민의힘,"국토교통위원회, 예산결산특별위원회",충북 제천시단양군,남,재선,지역구
165,제22대,염태영,더불어민주당,"기후위기 특별위원회, 국토교통위원회",경기 수원시무,남,초선,지역구
166,제22대,오기형,더불어민주당,"연금개혁 특별위원회, 재정경제기획위원회",서울 도봉구을,남,재선,지역구
167,제22대,오세희,더불어민주당,산업통상자원중소벤처기업위원회,비례대표,여,초선,비례대표
168,제22대,용혜인,기본소득당,행정안전위원회,비례대표,여,재선,비례대표
169,제22대,우원식,더불어민주당,외교통일위원회,서울 노원구갑,남,5선,지역구
170,제22대,우재준,국민의힘,"연금개혁 특별위원회, 산업통상자원중소벤처기업위원회",대구 북구갑,남,초선,지역구
171,제22대,유동수,더불어민주당,정무위원회,인천 계양구갑,남,3선,지역구
172,제22대,유상범,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국토교통위원회, 예산결산특별위원회",강원 홍천군횡성군영월군평창군,남,재선,지역구
173,제22대,유영하,국민의힘,"국방위원회, 정보위원회",대구 달서구갑,남,초선,지역구
174,제22대,유용원,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회",비례대표,남,초선,비례대표
175,제22대,유의동,국민의힘,국토교통위원회,경기 평택시을,남,4선,지역구
176,제22대,윤건영,더불어민주당,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 정보위원회, 행정안전위원회",서울 구로구을,남,재선,지역구
177,제22대,윤상현,국민의힘,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 법제사법위원회",인천 동구미추홀구을,남,5선,지역구
178,제22대,윤영석,국민의힘,"연금개혁 특별위원회, 재정경제기획위원회",경남 양산시갑,남,4선,지역구
179,제22대,윤용근,국민의힘,"국회운영위원회, 문화체육관광위원회, 예산결산특별위원회",충남 공주시부여군청양군,남,초선,지역구
180,제22대,윤재옥,국민의힘,"기후에너지환경노동위원회, 예산결산특별위원회",대구 달서구을,남,4선,지역구
181,제22대,윤종군,더불어민주당,국토교통위원회,경기 안성시,남,초선,지역구
182,제22대,윤종오,진보당,"국토교통위원회, 국회운영위원회",울산 북구,남,재선,지역구
183,제22대,윤준병,더불어민주당,농림축산식품해양수산위원회,전북 정읍시고창군,남,재선,지역구
184,제22대,윤한홍,국민의힘,산업통상자원중소벤처기업위원회,경남 창원시마산회원구,남,3선,지역구
185,제22대,윤호중,더불어민주당,교육위원회,경기 구리시,남,5선,지역구
186,제22대,윤후덕,더불어민주당,재정경제기획위원회,경기 파주시갑,남,4선,지역구
187,제22대,이강일,더불어민주당,정무위원회,충북 청주시상당구,남,초선,지역구
188,제22대,이개호,더불어민주당,농림축산식품해양수산위원회,전남광주통합특별시 담양군함평군영광군장성군,남,4선,지역구
189,제22대,이건태,더불어민주당,"기후에너지환경노동위원회, 예산결산특별위원회",경기 부천시병,남,초선,지역구
190,제22대,이광재,더불어민주당,"예산결산특별위원회, 재정경제기획위원회",경기 하남시갑,남,4선,지역구
191,제22대,이광희,더불어민주당,"성평등가족위원회, 행정안전위원회",충북 청주시서원구,남,초선,지역구
192,제22대,이기헌,더불어민주당,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 예산결산특별위원회, 외교통일위원회, 정보위원회",경기 고양시병,남,초선,지역구
193,제22대,이달희,국민의힘,보건복지위원회,비례대표,여,초선,비례대표
194,제22대,이만희,국민의힘,보건복지위원회,경북 영천시청도군,남,3선,지역구
195,제22대,이상식,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 행정안전위원회",경기 용인시갑,남,초선,지역구
196,제22대,이상휘,국민의힘,농림축산식품해양수산위원회,경북 포항시남구울릉군,남,초선,지역구
197,제22대,이성권,국민의힘,농림축산식품해양수산위원회,부산 사하구갑,남,재선,지역구
198,제22대,이성윤,더불어민주당,법제사법위원회,전북 전주시을,남,초선,지역구
199,제22대,이소영,더불어민주당,"기후위기 특별위원회, 기후에너지환경노동위원회",경기 의왕시과천시,여,재선,지역구
200,제22대,이소희,국민의힘,보건복지위원회,비례대표,여,초선,비례대표
201,제22대,이수진,더불어민주당,"연금개혁 특별위원회, 보건복지위원회, 성평등가족위원회",경기 성남시중원구,여,재선,지역구
202,제22대,이양수,국민의힘,"농림축산식품해양수산위원회, 정보위원회",강원 속초시인제군고성군양양군,남,3선,지역구
203,제22대,이언주,더불어민주당,산업통상자원중소벤처기업위원회,경기 용인시정,여,3선,지역구
204,제22대,이연희,더불어민주당,"과학기술정보방송통신위원회, 성평등가족위원회, 예산결산특별위원회",충북 청주시흥덕구,남,초선,지역구
205,제22대,이용선,더불어민주당,국토교통위원회,서울 양천구을,남,재선,지역구
206,제22대,이용우,더불어민주당,기후에너지환경노동위원회,인천 서구을,남,초선,지역구
207,제22대,이인선,국민의힘,"교육위원회, 예산결산특별위원회",대구 수성구을,여,재선,지역구
208,제22대,이인영,더불어민주당,"보건복지위원회, 정보위원회",서울 구로구갑,남,5선,지역구
209,제22대,이재강,더불어민주당,외교통일위원회,경기 의정부시을,남,초선,지역구
210,제22대,이재관,더불어민주당,농림축산식품해양수산위원회,충남 천안시을,남,초선,지역구
211,제22대,이재정,더불어민주당,문화체육관광위원회,경기 안양시동안구을,여,3선,지역구
212,제22대,이정문,더불어민주당,문화체육관광위원회,충남 천안시병,남,재선,지역구
213,제22대,이정헌,더불어민주당,"과학기술정보방송통신위원회, 국회운영위원회",서울 광진구갑,남,초선,지역구
214,제22대,이종배,국민의힘,"기후위기 특별위원회, 기후에너지환경노동위원회",충북 충주시,남,4선,지역구
215,제22대,이종욱,국민의힘,"예산결산특별위원회, 재정경제기획위원회",경남 창원시진해구,남,초선,지역구
216,제22대,이주영,개혁신당,교육위원회,비례대표,여,초선,비례대표
217,제22대,이주희,더불어민주당,"기후위기 특별위원회, 과학기술정보방송통신위원회, 국회운영위원회, 성평등가족위원회",비례대표,여,초선,비례대표
218,제22대,이준석,개혁신당,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 예산결산특별위원회, 재정경제기획위원회",경기 화성시을,남,초선,지역구
219,제22대,이진숙,국민의힘,과학기술정보방송통신위원회,대구 달성군,여,초선,지역구
220,제22대,이철규,국민의힘,기후에너지환경노동위원회,강원 동해시태백시삼척시정선군,남,3선,지역구
221,제22대,이춘석,무소속,재정경제기획위원회,전북 익산시갑,남,4선,지역구
222,제22대,이학영,더불어민주당,기후에너지환경노동위원회,경기 군포시,남,4선,지역구
223,제22대,이해민,조국혁신당,정무위원회,비례대표,여,초선,비례대표
224,제22대,이해식,더불어민주당,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 행정안전위원회",서울 강동구을,남,재선,지역구
225,제22대,이헌승,국민의힘,"기후위기 특별위원회, 기후에너지환경노동위원회",부산 부산진구을,남,4선,지역구
226,제22대,이훈기,더불어민주당,과학기술정보방송통신위원회,인천 남동구을,남,초선,지역구
227,제22대,임문영,더불어민주당,산업통상자원중소벤처기업위원회,전남광주통합특별시 광산구을,남,초선,지역구
228,제22대,임미애,더불어민주당,"국회운영위원회, 농림축산식품해양수산위원회",비례대표,여,초선,비례대표
229,제22대,임오경,더불어민주당,문화체육관광위원회,경기 광명시갑,여,재선,지역구
230,제22대,임이자,국민의힘,"재정경제기획위원회, 예산결산특별위원회",경북 상주시문경시,여,3선,지역구
231,제22대,임종득,국민의힘,"국방위원회, 성평등가족위원회",경북 영주시영양군봉화군,남,초선,지역구
